IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
Lindane/gamma-Hexachlorocyclohexane (gamma-HCH) (tissue),Other,Other
"Selenium, Total",Metals,Selenium
Nutrients (Algae),Nutrients,Algae and other Nutrient-related
"Zinc, Dissolved",Metals,Zinc
Swimming Restrictions,Other,Other
Pathogens,Pathogens,Pathogens
Low Dissolved Oxygen,Nutrients,Dissolved Oxygen
Azinphos-methyl (Guthion),Toxic Organics,Toxic Organics
Salinity,Solids,Dissolved Solids
Electrical Conductivity,Solids,Dissolved Solids
Group A Pesticides,Toxic Organics,Toxic Organics
Trifluralin,Toxic Organics,Toxic Organics
Alkalinity as CaCO3,pH,alkalinity
Metolachlor,Toxic Organics,Toxic Organics
alpha.-BHC (Benzenehexachloride or alpha-HCH),Other,Other
Diuron,Toxic Organics,Toxic Organics
Simazine,Toxic Organics,Toxic Organics
cis-permethrin,Toxic Organics,Toxic Organics
Benzo[b]fluoranthene,Toxic Organics,Toxic Organics
pH (low),pH,pH
"Nitrogen, ammonia (Total Ammonia)",Nutrients,Nitrogen
Benzo[k]fluoranthene,Toxic Organics,Toxic Organics
"Indeno[1,2,3-cd]pyrene",Toxic Organics,Toxic Organics
"Ammonia as N, Total",Nutrients,Nitrogen
Hexachlorobenzene/ HCB,Toxic Organics,Toxic Organics
Paraquat,Toxic Organics,Toxic Organics
Acid Mine Drainage,Uncategorized,Uncategorized
"BOD, Biochemical oxygen demand",Organics,COD
Ammonia (Unionized),Nutrients,Nitrogen
Pentachlorophenol (PCP),Toxic Organics,Toxic Organics
Methyl Parathion,Toxic Organics,Toxic Organics
Fluoride,Solids,Dissolved Solids
Unknown Toxicity,Aquatic Toxicity,Aquatic Toxicity
Total Kjeldahl Nitrogen (TKN),Nutrients,Nitrogen
Phosphate,Nutrients,Phosphorus
Trace Elements,Other,Other
Total Nitrogen as N,Nutrients,Nitrogen
Total Petroleum Hydrocarbons,Other,Fuel
Naphthalene,Toxic Organics,Toxic Organics
Chemical oxygen demand (COD),Organics,COD
Total Suspended Solids (TSS),Solids,Suspended Solids
Noxious aquatic plants,Other,Other
Color,Color and Turbidity,Color
Ammonia as Nitrogen,Nutrients,Nitrogen
Sediment Toxicity,Solids,Suspended Solids
Perchlorate,Toxic Organics,Toxic Organics
Dichlorvos,Toxic Organics,Toxic Organics
"1,4-Dioxane",Toxic Organics,Toxic Organics
Tetrachloroethylene/PCE,Toxic Organics,Toxic Organics
Trichloroethylene/TCE,Toxic Organics,Toxic Organics
Fenpyroximate,Toxic Organics,Toxic Organics
Solids,Solids,Suspended Solids
Surfactants (MBAS),Toxic Organics,Toxic Organics
Synthetic Organics,Organics,Other Organics
Thallium,Metals,Thallium
