PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG
4241,"Produced water, gross alpha radiation",10804,A,9,,Y,
4242,"Produced water, gross beta radiation",10969,A,9,,Y,
4243,"Produced water, toxicity",12133,A,55,,N,
4244,"Produced water, Radium 226, total",10430,A,9,,Y,
4245,"Produced water, Radium 228, total",10431,A,9,,Y,
4249,Produced water toxicity 7 day noec,12129,A,59,,Y,
4250,Bioaccumulation testing performed,10973,A,55,,N,
4252,"Butyl, 5-benzotriazole, total",10700,A,59,,Y,
4262,"Chromium, trivalent total recoverable",10215,A,59,,Y,
4270,"Chronic toxicity, daphnia magnia 21 dy",4245,A,16,,Y,
4278,"Seafood production, effluent # day/mo",12203,A,134,,Y,
4279,"RCRA/CERCLA substances, 40 CFR 261 subp c",12171,A,59,,Y,
4280,"Bisazer, total, water, ug/L",10981,A,59,,Y,
4310,Dicrotophos,12057,A,59,,Y,
4311,"Drilling fluid, end of well, 96-hr LC50",11221,A,59,,Y,
4312,"Drilling fluid, toxicity",11226,A,59,,Y,
4370,"Sum BOD and ammonia, water",12293,A,59,,Y,1
4379,"Well fluids, oil & grease",10364,A,59,,Y,
4382,"1,2-Dichloro-1,2-difluoroethane",11259,A,59,,Y,
4383,Thermal efficiency,12398,A,16,,Y,
4443,Diquat,11198,A,59,,Y,
4584,"Organics, gasoline range",11345,A,59,,Y,2
5501,"Gamma, total",11341,A,9,,Y,
5502,"Gamma, total counting error",11341,A,9,,Y,
7000,"Tritium, total",12446,I,9,,Y,
7001,"Tritium, total counting error [pc/L]",12447,A,9,,Y,
7020,"Tritium, total net increase H-3 units",12448,A,9,,Y,
9501,"Radium 226, total",10430,A,112,,Y,
9503,"Radium 226, dissolved",10430,A,112,,Y,2
11123,"Manganese, total recoverable",2423,A,59,,Y,1
11500,"Radium 226 & 228, dissolved",12175,A,9,,Y,
11501,"Radium 228, total",10431,A,112,,Y,2
11503,"Radium 226 + radium 228, total",12175,A,112,,Y,2
13501,"Strontium 90, total",12285,A,9,,Y,
17501,"Lead 210, total",11641,A,58,,Y,2
18501,Iodine 129,11426,A,9,,Y,
19500,Total polonium,12103,A,59,,Y,2
19501,Polonium 210,12104,A,58,,Y,2
20501,"Radium 223, total",12173,A,112,,Y,
22100,"Technetium 99, total [14]",12368,A,9,,Y,
22405,"Aluminum chloride, dissolved, water",10093,A,59,,Y,1
22409,Octachlorostyrene,10934,A,59,,Y,
22410,"Tris[2,3-dibromo- propyl] phosphate",10691,A,59,,Y,
22414,Whole effluent toxicity,4677,A,181,,Y,
22415,Whole effluent toxicity - retest #1,4677,A,55,,N,
22416,Whole effluent toxicity - retest #2,4677,A,55,,N,
22417,Methyl tert-butyl ether [MTBE],10418,A,59,N,Y,2
22418,"WET, sublethal retest #1",12509,A,55,,N,
22419,"WET, sublethal retest #2",12509,A,55,,N,
22454,Methoxypropylamine,10027,A,59,,Y,2
22456,Polynuclear Aromatic Hydrocarbons [PAHs],10100,A,59,N,Y,2
22501,Thorium [Thorium-232],4082,A,9,,Y,
22601,"Uranium 238, total",6439,A,9,,Y,
22622,"Uranium 235, total",12460,A,9,,Y,
22680,"Arsenic, trivalent dissolved",10833,A,59,,Y,
22703,"Uranium, dissolved",6439,A,59,,Y,2
22706,"Uranium, total as U3O8",320002281,A,59,,Y,2
22708,"Uranium, total",6439,A,59,,Y,2
24501,"Radium 224, total",12174,A,112,,Y,
25501,Actinium 227,10793,A,9,,Y,
26501,Thorium 230,12407,A,9,,Y,
26631,Thorium 232 pci/g of dry solids,4082,A,36,,Y,2
28012,"Uranium, total [in pci/L]",6439,A,9,,Y,
28801,"Cerium, total",11067,A,59,,Y,2
29404,"Chromium, trivalent in bottom deposits",10215,A,59,,Y,2
29405,"Chromium, hexavalent in bot dep [dry wt]",10214,A,59,,Y,2
29620,"Phosphorous 32, total",12092,A,59,,Y,1
30004,Fensulfothion,12081,A,59,,Y,
30006,Fenthion,12086,A,59,,Y,
30009,Merphos,12091,A,59,,Y,
30056,Benzyl chloride,10124,A,59,,Y,2
30190,Dichloroprop,10421,A,59,,Y,
30191,Dinoseb,12016,A,59,,Y,2
30192,MCPA,10784,A,59,,Y,
30193,MCPP,12159,A,59,,Y,
30218,Dichlorvos,12053,A,59,,Y,
30234,Terbacil,10038,A,59,,Y,2
30264,Hexazinone,10646,A,59,,Y,2
30311,Bromacil,10037,A,59,,Y,2
30344,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",11168,A,59,,Y,2
30345,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",11166,A,59,,Y,2
30346,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",11167,A,59,,Y,2
34636,4-Bromophenyl phenyl ether,10911,A,59,,Y,2
51188,Dewatering effluent chlorides tidal,11159,A,59,,Y,
51189,Dewatering effluent COD,11156,A,59,,Y,
51190,Dewatering effluent free oil,11160,A,42,,Y,
51191,Dewatering effluent oil & grease,10364,A,59,,Y,
51192,Dewatering effluent pH,11162,A,7,,N,
51193,Dewatering effluent TDS,11157,A,22,,Y,
51194,Dewatering effluent TSS,11158,A,59,,Y,
51195,"Flow, as a portion of stream flow",11309,A,66,,Y,
51196,Acetonitrile,278,A,59,,Y,
51197,Total Organic Carbon % Removal,11907,A,59,Y,Y,2
51198,"Oil & grease, non-polar material",11900,A,59,,Y,1
51199,"Flow, return factor",11323,A,90,,Y,
51200,Endothall,10762,A,59,,Y,
51201,Color,11106,A,103,,Y,
51202,Sulfide-hydrogen sulfide [undissociated],12286,A,59,,Y,
51310,2-Chlorobenzene,10151,A,59,,Y,
51315,Di[2-ethylhexyl] phthalate [DEHP],10005,I,59,,Y,
51320,Octylphenol,12040,A,59,,Y,
51340,p-Phenolsulfonic acid,10953,A,59,,Y,
51360,m-Benzenedisulfonic acid,10658,A,59,,Y,
51370,Area of disposal-used,10828,A,146,,Y,
51380,Bicarbonate as [CaCO3],10800,A,59,,Y,
51381,Thionazin,12082,A,59,,Y,
51382,Leptophos,12047,A,59,,Y,
51383,Fenitrothion,12085,A,59,,Y,
51384,Aspon,12405,A,59,,Y,
51385,Monocrotophos,12059,A,59,,Y,
51386,Dichlofenthion,12087,A,59,,Y,
51400,DMR submitted,11199,A,148,,N,
51401,"Zinc, percent removal",6352,A,16,Y,Y,2
51402,"Copper, percent removal",1165,A,16,Y,Y,2
51403,"Cadmium, percent removal",776,A,16,Y,Y,2
51404,"Solids, total suspd. non-volatile",12249,A,59,,Y,1
51405,Excess thermal load,11291,A,72,,Y,
51406,Carbonate ion [as CaCO3],11058,A,59,,Y,2
51407,Rainfall events,12177,A,140,,Y,
51500,"Flow, total",11324,A,123,N,Y,
52000,Azide,10835,A,59,,Y,2
52010,Ethoxyquin,12170,A,59,,Y,2
52020,Freeboard,11335,A,105,,Y,
52030,Furans,10293,A,59,,Y,2
52040,"Halogens, total combined",11378,A,59,,Y,2
52050,Infiltration capacity,11421,A,97,,Y,
52060,Mix ratio,11683,A,42,,Y,
52070,Moisture content,11685,A,16,,Y,
52080,Number of operating tubes,11903,A,45,,Y,
52090,Octachlorodibenzo-p-dioxin,11163,A,59,,Y,2
52100,Octachlorodibenzofuran,11185,A,59,,Y,2
52110,Oil & grease [polar],11899,A,59,,Y,1
52120,"Organics, total halogens [TOX]",11908,A,59,,Y,2
52130,"Pentachlorophenol, removal efficiency",10396,A,16,Y,Y,1
52140,"Pressure, casing",12120,A,17,,Y,
52150,Rovral,10680,A,59,,Y,2
52170,"Solids, total suspended, loading rate",12254,A,109,,Y,1
52190,"Solids, total dissolved [inorganic]",12245,A,59,,Y,1
52200,SOPP,12517,A,59,,Y,2
52210,"SOPP, loading rate",12517,A,109,,Y,2
52220,Tebuconazole,10696,A,59,,Y,2
52230,Technetium-99,12368,A,9,,Y,
52240,"Temperature, background",6128,A,2,,Y,
52250,Tetramethyl ammonium hydroxide,11658,A,59,,Y,2
52260,Thiabendazole,10698,A,59,,Y,2
52270,Thiobendazole,10698,A,59,,Y,2
52280,Topsin,11044,A,59,,Y,2
52290,Total Petroleum Hydrocarbons - Diesel,12428,A,59,N,Y,1
52300,Total Petroleum Hydrocarbons - Gasoline,10485,A,59,N,Y,1
52310,Total water accumulations,12431,A,32,,Y,
52320,Total water irrigated,2220,A,95,,Y,
52330,"Turbidity, background",6638,A,30,,N,
52340,"Turbidity, change",12450,A,30,,N,
52350,"Turbidity, increase over background",12452,A,30,,N,
52360,Volume of injected wastewater,12497,A,41,,Y,
52370,Volume,12484,A,65,,Y,
52380,"Volume, daily",12483,A,68,,Y,
52390,Water usage,12504,A,65,,Y,
60050,"Algae, total [cells/mL]",4819,A,22,,Y,
61022,"3,4,6-Trichloroguaiacol, total",12022,A,59,,Y,
61023,"2,4,5-Trichlorophenol",10380,A,59,,Y,
61024,"3,4,5-Trichloroguaiacol",12021,A,59,,Y,
61025,"3,4,6-Trichlorocatechol",10635,I,59,,Y,
61026,"2,3,4,5-Tetrachlorophenol",12002,A,59,,Y,
61162,"1,1-Dichloroethene",10278,A,59,,Y,2
61163,"Propylene glycol, total",10639,A,59,,Y,2
61164,"Protein, crop crude %",12160,A,16,,Y,
61165,Crop yield,11118,A,100,,Y,
1345,"Debris, floating [severity]",11304,A,55,,N,
49876,Terramycin [1 hour application],10726,A,35,,Y,
51101,Morpholine,11689,A,59,,Y,
51103,"Bromacil, lithium",10713,A,59,,Y,2
51104,Bromoxynil octanoate,11894,A,59,,Y,2
51106,Dazomet,10739,A,59,,Y,2
51107,Nabonate,11050,A,59,,Y,2
51108,TCMTB,12401,A,59,,Y,2
51109,Industrial contribution % of influent,11419,A,16,,Y,
51110,"Potassium, total [K2O], [water]",12110,A,59,,Y,
51111,Chlorinated paraffin in sludge,11084,A,59,,Y,
51112,"Surface area, square feet",12294,A,54,,Y,
51114,"Stock base fluid, PAH",12274,A,15,,Y,
51115,"Stock base fluid, sediment toxicity",12276,A,15,,Y,
51116,"Stock base fluid, biodegredation rate",12275,A,15,,Y,
51117,"Discharge drill cuttings, sediment toxicity",11202,A,15,,Y,
51118,"Discharge drill cuttings, formation oil",11201,A,55,,N,
51119,"Discharge drill cuttings, formation oil cert",11201,A,55,,N,
51120,"Discharge drill cuttings, base fluids retained",11200,A,151,,Y,
51121,"Seabed survey, industry wide",12202,A,55,,N,
51122,"Seabed survey, 1st suvey w/i 2 wks",12202,A,55,,N,
51123,"Seabed survey, 2ndsuvey w/i 1 yr",12202,A,55,,N,
51124,"Application rate, daily spray irrigation.",10824,A,142,,Y,
51125,"Application rate, weekly spray irrigation.",10824,A,142,,Y,
51126,"Application rate, rate/area sprayed",10824,A,142,,Y,
51127,Priority pollutant chemical specific,12121,A,55,,N,
51128,"Application rate, gallons spray irrigation",10824,A,121,,Y,
51129,Biosolids weight indluding admixtures,661,A,40,,Y,
51130,"Viable helminth ova, sludge, dry weight",11387,A,99,,Y,
51131,"Fecal coliform in sludge, CFU/gram",10287,A,44,,Y,
51132,Cyanuric acid,10647,A,59,,Y,
51133,Blend ratio,10984,A,86,,Y,
51134,Ametryn,10654,A,59,,Y,2
51135,Benomyl and carbendazim,10870,A,59,,Y,2
51136,Bromoxynil,10966,A,59,,Y,2
51137,Busan 40,11048,A,59,,Y,2
51138,Busan 85,10188,A,59,,Y,2
51139,Chloroneb,10910,A,59,,Y,2
51140,Chlorothalonil,10656,A,59,,Y,2
51141,DCPA,10023,A,59,,Y,2
51142,DEF,12090,A,59,,Y,2
51143,Dioxathion,12072,A,59,,Y,2
51144,Endothall salts & esters,10763,A,59,,Y,2
51145,Fenarimol,10753,A,59,,Y,2
51146,Fenvalerate,10941,A,59,,Y,2
51147,KN methyl,11052,A,59,,Y,2
51148,Linuron,12464,A,59,,Y,2
51149,"Methamidophos, organic pesticide",12050,A,59,,Y,2
51150,"Nabam, organic pesticide",11049,A,59,,Y,2
51151,Norflurazon,10742,A,59,,Y,2
51152,Pentachloronitrobenzene [PCNB],10935,A,59,,Y,2
51153,Pendimethalin,10887,A,59,,Y,2
51154,Phosmet,12074,A,59,,Y,2
51155,Prometon,10651,A,59,,Y,2
51156,Prometryn,10652,A,59,,Y,2
51157,Pronamide,10873,A,59,,Y,2
51158,Propachlor,10774,A,59,,Y,2
51159,Propazine,10648,A,59,,Y,2
51160,Tebuthiuron,12470,A,59,,Y,2
51161,Terbuthylazine,10650,A,59,,Y,2
51162,"Terbutryn, organic pesticide",10653,A,59,,Y,2
51163,"Triadimefon, organic pesticide",10718,A,59,,Y,2
51164,"Ziram, organic pesticide",12516,A,59,,Y,2
51165,"SAS - 305, total",10901,A,59,,Y,
51166,"SAS - 305, total in sludge",10901,A,59,,Y,
51167,Operation of turbines,11904,A,148,,N,
51168,Priority pollutants scan [yes/no],12122,A,156,,N,
51169,Hematite Production,11388,A,148,,N,
51170,Filter backwash discharges per day,11297,A,140,,Y,
51171,Water softener backwash,12501,A,126,,Y,
51172,Water backwash,12498,A,135,,Y,
51173,"Cyanide, free available",5123,A,59,,Y,2
51174,Di[2-ethylhexyl] adipate,11395,A,59,,Y,
51175,2-Ethylhexanol,10679,A,59,,Y,
51176,Surfynol 104E,10752,A,59,,Y,
51177,Betzdearborn DG5671,10971,A,59,,Y,
51178,Nonyl phenoxypoly ethanol,11888,A,59,,Y,
51179,Polyethylene glycol,10410,A,59,,Y,
51180,"O,O-Diethyl S-methyl dithiophosphate",12067,A,59,,Y,
51181,Glycol mix applied,1939,A,64,,Y,
51182,Production divided by days operated mo.,12134,A,57,,Y,
51183,Ethyl mercaptan,10268,A,59,,Y,
51184,Acetophene,10959,A,59,,Y,
51185,"Produced water, TDS",12130,A,59,,Y,
51186,"Oxygen demand, nitrogenous, ultimate",11924,A,59,,Y,1
51187,"Free oil, dewatering effluent",11334,A,42,,Y,
30347,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",11164,A,59,,Y,2
30350,"1,2,3,7,8-Pentachlorodibenzofuran",11178,A,59,,Y,2
30351,"2,3,4,7,8-Pentachlorodibenzofuran",11180,A,59,,Y,2
30352,"1,2,3,4,7,8-Hexachlorodibenzofuran",11175,A,59,,Y,2
30353,"1,2,3,6,7,8-Hexachlorodibenzofuran",11176,A,59,,Y,2
30354,"1,2,3,7,8,9-Hexachlorodibenzofuran",11177,A,59,,Y,2
30355,"2,3,4,6,7,8-Hexachlorodibenzofuran",11179,A,59,,Y,2
30356,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",11173,A,59,,Y,2
30357,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",11174,A,59,,Y,2
30358,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",11165,A,59,,Y,2
30362,"2,3,7,8-TCDF, sed.",11181,A,59,,Y,2
30383,"Benzene, ethylbenzene, toluene, xylene combination",10926,A,59,,Y,2
30391,"Chlorosyringaldehyde, effluent",10872,A,59,,Y,2
30500,"Coliform, fecal - % samples exceeding limit",10287,A,16,,Y,
31501,"Coliform, total MF, immed, m-endo med 35 C",4146,A,22,,Y,
31502,"Coliform, total 10/mL",4146,A,22,,Y,
31503,"Coliform, total MF, delayed, m-endo med",4146,A,22,,Y,
31504,"Coliform, total MF, immed, les endo agar",4146,A,22,,Y,
31505,"Coliform, tot, MPN, completed, [100 mL]",4146,A,22,,Y,
31612,"Coliform, fecal 10/mL",10287,A,22,,Y,
31613,"Coliform, fecal MF, MFC agar, 44.5 C, 24hr",10287,A,22,,Y,
31615,"Fecal coliform, MPN, EC med, 44.5 C",10287,A,22,,Y,
31616,"Coliform, fecal MF, MFC broth, 44.5 C",10287,A,22,,Y,
31625,"Coliform, fecal MF, MFC, 0.7um",10287,A,22,,Y,
31633,"E. coli, thermotol, MF, MTEC",10251,A,22,,Y,
31639,"Enterococci: group D, MF trans, M-E, EIA",11237,A,22,,Y,
31641,Fecal coliform,10287,A,99,,Y,
31648,"E. coli, MTEC-MF",10251,A,22,,Y,
31662,"Phosphate, tot. bottom sed., dry wt.",5878,A,59,,Y,
31663,"Halogens, tot organics bottom sediment",1976,A,59,,Y,2
31666,"Hydrocarbon, total recoverable",11402,A,59,,Y,2
31667,"Oil petroleum, total recoverable",3256,A,59,N,Y,1
31671,"Streptococci, fecal plate count KF agar",11293,A,22,,Y,
31673,"Streptococci, fecal MF, KF agar, 35C, 48hr",11293,A,22,,Y,
31674,"Streptococci, fecal 10/mL",11293,A,22,,Y,
31675,"Streptococci, fecal MPN, KF broth 35 C",11293,A,22,,Y,
31679,"Fecal streptococci, MF m-enterococcus ag",11293,A,22,,Y,
31751,"Plate count, total 35 deg. C, 24 hour",12098,A,22,,Y,
31760,Klebsiella species,11431,A,22,,Y,
32005,"Carbon, chloroform extractables",6656,A,59,,Y,2
32015,Base/neutral compounds,10869,A,59,,Y,2
32016,"Fluoride, complex",1822,A,59,,Y,2
32017,Sodium chloride [salt],10447,A,59,,Y,1
32018,"Fluoride, free",1822,A,59,,Y,1
32019,Cyanide and thiocyanate - total,11121,A,59,,Y,2
32020,Acid compounds,10789,A,59,,Y,2
32021,"Carbon, chloroform extracts, ether insoluble",6656,A,59,,Y,2
32101,Dichlorobromomethane,11660,A,59,,Y,2
32102,Carbon tetrachloride,10344,A,59,,Y,2
32103,"1,2-Dichloroethane",10262,A,59,,Y,2
32104,Bromoform,11673,A,59,,Y,2
32105,Dibromochloromethane,11664,A,59,,Y,2
32106,Chloroform,10345,A,59,,Y,2
32209,"Chlorophyll A, corrected",11650,A,59,,Y,
32218,Pheophytin,10745,A,59,,Y,
32230,Chlorophyll A,11650,A,59,,Y,
32231,Chlorophyll B,11649,A,59,,Y,
32232,Chlorophyll C,11097,A,59,,Y,
32240,Tannin and lignin,12364,A,59,,Y,2
32250,"Oil, petroleum ether extractables",10364,A,59,N,Y,1
32251,Benzofuran,10957,A,59,,Y,2
32252,Acrylic polymer in drilling fluids,10734,A,59,,Y,
32253,"Aluminum stearate, wat sol in drill fl",11892,A,59,,Y,
32254,"Cellulose polymer, in drilling fluids",11065,A,59,,Y,
32255,DOS-3 in drilling fluids,11136,A,59,,Y,
32256,Imco Lube 106 in drilling fluids,11412,A,59,,Y,
32257,Imco Lubrikleen in drilling fluids,11413,A,59,,Y,
32258,Imco phos in drilling fluids,11416,A,59,,Y,
32259,Kwik Seal in drilling fluids,11432,A,59,,Y,
32261,Starch in drilling fluids,12270,A,59,,Y,
32262,XC Polymer in drilling fluids,12513,A,59,,Y,2
32270,"Chloroform extractables, total",11096,A,59,,Y,2
32730,"Phenolics, total recoverable",10397,A,59,,Y,2
32731,Phenolics in bottom deposits [dry wgt],10397,A,59,,Y,2
34010,Toluene,10161,A,59,,Y,2
34011,Halogenated toluene,10930,A,59,,Y,2
34030,Benzene,603,A,59,,Y,2
34031,Monochlorobenzenes,10151,A,59,,Y,2
4240,Acetochlor,10076,A,59,,Y,
49877,"Chloramine, total",11079,A,35,,Y,
1350,Turbidity [severity],12449,A,133,,Y,
1351,Stream flow [severity],12278,A,50,,Y,
1352,Discharge flow as % of stream flow,11204,A,87,,Y,
1355,"Ice cover, floating or solid [severity]",11417,A,132,,Y,
1501,"Alpha, total",10804,A,9,,Y,
1502,"Alpha, total, counting error",10805,A,9,,Y,
1503,"Alpha, dissolved",10804,A,9,,Y,
1505,"Alpha, suspended",10804,A,9,,Y,
1523,"Silver, ionic",12212,A,59,,Y,2
3501,"Beta, total",10969,A,9,,Y,
3502,"Beta, total, counting error",10970,A,9,,Y,
3503,"Beta, dissolved",10969,A,9,,Y,
3505,"Beta, suspended",10969,A,9,,Y,
3520,"Radiation, gross beta",10969,A,9,,Y,
3556,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",10239,I,59,,Y,2
3582,Oil and grease,10364,A,59,,Y,1
3593,"Toxics, percent removal",12444,A,16,Y,Y,2
3594,"Halogens, adsorbable organic",10091,A,59,,Y,2
3595,Bioassay [96 hr],10976,A,153,,Y,
3596,Bioassay [48 hr],10975,A,153,,Y,
3597,Bioassay [24 hr],10974,A,153,,Y,
3598,Toxicity,4245,A,153,,Y,
3599,"Toxicity, choice of species",12435,A,153,,Y,
3600,"Toxicity, trout",12443,A,153,,Y,
3601,"Toxicity, sand dollar",12442,A,153,,Y,
3602,Biochemical oxygen demand,10178,A,148,,N,
3603,Total suspendable solids,10486,A,148,,N,
3604,Total phenols,10397,A,59,,Y,2
3605,Flow meter calibration,11306,A,148,,N,
3607,"Stickwater, effluent percent recycled",12272,A,60,,Y,
3608,"Stickwater, effluent volume recycled",12273,A,121,,Y,
3609,"Production, seafood effluent",12135,A,57,,Y,
3610,Dioxin,10239,A,59,,Y,2
