CITY,COUNTY_NAME,CURRENT_DESIGN_FLOW,CWNS_ID,FACILITY_NAME,FACILITY_TYPE,LATITUDE,LONGITUDE,PERMIT_NUMBER,POP_PERCENT_INCREASE,STATE_CODE,TOTAL_RES_POPULATION_2022,TOTAL_RES_POPULATION_2042
Gordon,Houston,0.07,1000000082,Town of Gordon - Lagoon,Collection: Separate Sewers,31.147658,-85.070363,AL0073202,0.0,AL,306.0,306.0
Gordon,Houston,0.07,1000000082,Town of Gordon - Lagoon,Collection: Pump Stations,31.147658,-85.070363,AL0073202,0.0,AL,306.0,306.0
Gordon,Houston,0.07,1000000082,Town of Gordon - Lagoon,Treatment Plant,31.147658,-85.070363,AL0073202,0.0,AL,306.0,306.0
Gordon,Houston,0.07,1000000082,Town of Gordon - Lagoon,Ocean Discharge,31.147658,-85.070363,AL0073202,0.0,AL,306.0,306.0
Atmore,Escambia,,1000000083,Atmore Stormwater System,Ocean Discharge,31.017081,-87.492628,,,AL,,
Citronelle,Baldwin,,1000000084,Baldwin County commission,Ocean Discharge,30.401307,-87.767715,,,AL,,
Clay,Jefferson,,1000000085,City of Clay,Ocean Discharge,33.702601,-86.59971,,,AL,,
Angoon,Covington,0.0,1000000087,Covington County-Decentralized Wastewater System,Collection: Separate Sewers,31.390645,-86.501884,,,AL,0.0,1500.0
Angoon,Covington,0.0,1000000087,Covington County-Decentralized Wastewater System,Treatment Plant,31.390645,-86.501884,,,AL,0.0,1500.0
Angoon,Covington,0.0,1000000087,Covington County-Decentralized Wastewater System,Water Reuse,31.390645,-86.501884,,,AL,0.0,1500.0
Pelican,Baldwin,,1000000089,Elberta,Ocean Discharge,30.412706,-87.594166,,,AL,,
Glenwood,Crenshaw,,1000000092,Glenwood Wastewater Collection System,Collection: Separate Sewers,31.665619,-86.173797,,0.0,AL,217.0,217.0
Madison,Madison,0.0,1000000093,Harvest Monrovia-Limestone Creek WWTP,Treatment Plant,34.629818,-86.756287,,,AL,0.0,2775.0
Madison,Madison,0.0,1000000093,Harvest Monrovia-Limestone Creek WWTP,Ocean Discharge,34.629818,-86.756287,,,AL,0.0,2775.0
Beatrice,Monroe,0.01,1000000094,JF Shields High School-Lagoon,Collection: Separate Sewers,31.718889,-87.185667,AL0044407,,AL,0.0,0.0
Beatrice,Monroe,0.01,1000000094,JF Shields High School-Lagoon,Treatment Plant,31.718889,-87.185667,AL0044407,,AL,0.0,0.0
Beatrice,Monroe,0.01,1000000094,JF Shields High School-Lagoon,Ocean Discharge,31.718889,-87.185667,AL0044407,,AL,0.0,0.0
Leesburg,Cherokee,0.25,1000000095,Leesburg WW Collection System,Collection: Separate Sewers,34.178639,-85.753583,AL0057592,0.79,AL,1007.0,1015.0
Leesburg,Cherokee,0.25,1000000095,Leesburg WW Collection System,Treatment Plant,34.178639,-85.753583,AL0057592,0.79,AL,1007.0,1015.0
Leesburg,Cherokee,0.25,1000000095,Leesburg WW Collection System,Ocean Discharge,34.178639,-85.753583,AL0057592,0.79,AL,1007.0,1015.0
Tuskegee,Macon,0.03,1000000096,Macon County Commission-WW Conveyance Transfer,Collection: Separate Sewers,32.415545,-85.681429,,0.0,AL,50.0,50.0
Tuskegee,Macon,0.03,1000000096,Macon County Commission-WW Conveyance Transfer,Treatment Plant,32.415545,-85.681429,,0.0,AL,50.0,50.0
Tuskegee,Macon,0.03,1000000096,Macon County Commission-WW Conveyance Transfer,Ocean Discharge,32.415545,-85.681429,,0.0,AL,50.0,50.0
Theodore,Mobile,,1000000097,Mobile County WS&FP,Collection: Separate Sewers,30.531141,-88.170605,,0.0,AL,420.0,420.0
Courtland,Monroe,,1000000098,Monroeville Drainage Project,Ocean Discharge,31.524995,-87.322769,,,AL,,
Fyffe,DeKalb,0.0,1000000100,Section WW & GB-Fyffe WWTP,Treatment Plant,34.450944,-85.90313,,,AL,0.0,725.0
Fyffe,DeKalb,0.0,1000000100,Section WW & GB-Fyffe WWTP,Ocean Discharge,34.450944,-85.90313,,,AL,0.0,725.0
Harvest,,,1000000104,Harvest Monrovia-Collection System,Collection: Separate Sewers,34.858327,-86.724014,,0.0,AL,9250.0,9250.0
Mobile,,12.8,1000000105,MAWSS â Wright-Smith WWTP,Treatment Plant,30.72,-88.0701,AL0023094,0.0,AL,60000.0,60000.0
Mobile,,12.8,1000000105,MAWSS â Wright-Smith WWTP,Ocean Discharge,30.72,-88.0701,AL0023094,0.0,AL,60000.0,60000.0
Mobile,,28.0,1000000106,MAWSS â CC Williams WWTP,Treatment Plant,30.660391,-88.036898,AL0023086,0.0,AL,140000.0,140000.0
Mobile,,28.0,1000000106,MAWSS â CC Williams WWTP,Ocean Discharge,30.660391,-88.036898,AL0023086,0.0,AL,140000.0,140000.0
Mobile,Mobile,,1000000107,Prichard WW&SB Collection System,Collection: Separate Sewers,30.737262,-88.079367,,0.0,AL,19322.0,19322.0
Sylacauga,Talladega,,1000000109,Sylacauga Wastewater Collection System,Collection: Separate Sewers,33.171109,-86.250401,,0.0,AL,12578.0,12578.0
Dothan,Houston,0.0,1000000110,Taylor WWTP,Treatment Plant,31.163918,-85.468397,,,AL,0.0,2200.0
Dothan,Houston,0.0,1000000110,Taylor WWTP,Ocean Discharge,31.163918,-85.468397,,,AL,0.0,2200.0
Dothan,,,1000000111,Taylor Wastewater Collection System,Collection: Separate Sewers,31.164488,-85.46814,,0.0,AL,2200.0,2200.0
Troy,Pike,0.0,1000000113,Troy (New WWTP),Treatment Plant,31.757364,-85.985688,,,AL,0.0,1950.0
Troy,Pike,0.0,1000000113,Troy (New WWTP),Ocean Discharge,31.757364,-85.985688,,,AL,0.0,1950.0
Troy,Pike,,1000000114,Troy Wastewater Collection System,Collection: Separate Sewers,31.808582,-85.971451,,0.0,AL,19500.0,19500.0
Vredenburgh,Monroe,0.05,1000000115,Vredenburgh Lagoon & Wetland,Collection: Separate Sewers,31.816897,-87.31513,,0.0,AL,222.0,222.0
Vredenburgh,Monroe,0.05,1000000115,Vredenburgh Lagoon & Wetland,Treatment Plant,31.816897,-87.31513,,0.0,AL,222.0,222.0
Vredenburgh,Monroe,0.05,1000000115,Vredenburgh Lagoon & Wetland,Water Reuse,31.816897,-87.31513,,0.0,AL,222.0,222.0
Trinity,Lawrence,0.2,1000000116,West Morgan-East Lawrence WWTP,Collection: Separate Sewers,34.62066,-87.12435,AL0076708,41.67,AL,1200.0,1700.0
Trinity,Lawrence,0.2,1000000116,West Morgan-East Lawrence WWTP,Treatment Plant,34.62066,-87.12435,AL0076708,41.67,AL,1200.0,1700.0
Trinity,Lawrence,0.2,1000000116,West Morgan-East Lawrence WWTP,Ocean Discharge,34.62066,-87.12435,AL0076708,41.67,AL,1200.0,1700.0
Brent,Bibb,1.6,1000000117,Brent-Centerville Lagoon,Collection: Combined Sewers,32.9268,-87.1529,AL0044857,0.0,AL,6000.0,6000.0
Brent,Bibb,1.6,1000000117,Brent-Centerville Lagoon,Treatment Plant,32.9268,-87.1529,AL0044857,0.0,AL,6000.0,6000.0
Brent,Bibb,1.6,1000000117,Brent-Centerville Lagoon,Ocean Discharge,32.9268,-87.1529,AL0044857,0.0,AL,6000.0,6000.0
Tuscaloosa,Tuscaloosa,,1000000118,Coaling Sewer Collection System,Collection: Separate Sewers,33.159685,-87.343025,,,AL,0.0,1702.0
Valley Head,DeKalb,0.0,1000000120,Hammondville On-Site Wastewater System,Collection: Separate Sewers,34.591672,-85.635166,,,AL,0.0,0.0
Valley Head,DeKalb,0.0,1000000120,Hammondville On-Site Wastewater System,Treatment Plant,34.591672,-85.635166,,,AL,0.0,0.0
Valley Head,DeKalb,0.0,1000000120,Hammondville On-Site Wastewater System,Water Reuse,34.591672,-85.635166,,,AL,0.0,0.0
Oxford,Calhoun,,1000000121,Hobson City - Collection System,Collection: Separate Sewers,33.620051,-85.835495,,0.0,AL,759.0,759.0
Birmingham,,,1000000122,Jefferson County-Shades Creek,Collection: Separate Sewers,33.498461,-86.735687,,0.0,AL,80099.0,80099.0
Hope Hull,Lowndes,0.0,1000000123,Lowndes County-WWTP & Collection System,Collection: Separate Sewers,32.194354,-86.419659,,,AL,0.0,0.0
Hope Hull,Lowndes,0.0,1000000123,Lowndes County-WWTP & Collection System,Treatment Plant,32.194354,-86.419659,,,AL,0.0,0.0
Hope Hull,Lowndes,0.0,1000000123,Lowndes County-WWTP & Collection System,Ocean Discharge,32.194354,-86.419659,,,AL,0.0,0.0
Dawson,Colbert,,1000000124,Muscle Shoals-Stormwater,Phase II MS4,34.744152,-87.667294,,,AL,,
Montgomery,,0.09,1000000125,Montgomery-Rolling Hills Lagoon,Collection: Separate Sewers,32.293694,-86.166833,AL0059315,0.0,AL,430.0,430.0
Montgomery,,0.09,1000000125,Montgomery-Rolling Hills Lagoon,Treatment Plant,32.293694,-86.166833,AL0059315,0.0,AL,430.0,430.0
Montgomery,,0.09,1000000125,Montgomery-Rolling Hills Lagoon,Ocean Discharge,32.293694,-86.166833,AL0059315,0.0,AL,430.0,430.0
Pike Road,,1.5,1000000126,Montgomery-Milley's Creek WWTP,Collection: Separate Sewers,32.387661,-86.041448,AL0082431,5.0,AL,15000.0,15750.0
Pike Road,,1.5,1000000126,Montgomery-Milley's Creek WWTP,Treatment Plant,32.387661,-86.041448,AL0082431,5.0,AL,15000.0,15750.0
Pike Road,,1.5,1000000126,Montgomery-Milley's Creek WWTP,Ocean Discharge,32.387661,-86.041448,AL0082431,5.0,AL,15000.0,15750.0
Mobile,Mobile,0.0,1000000128,South Alabama Utilities-West Mobile WWTP,Collection: Separate Sewers,30.651425,-88.300595,,,AL,0.0,2350.0
Mobile,Mobile,0.0,1000000128,South Alabama Utilities-West Mobile WWTP,Treatment Plant,30.651425,-88.300595,,,AL,0.0,2350.0
Mobile,Mobile,0.0,1000000128,South Alabama Utilities-West Mobile WWTP,Ocean Discharge,30.651425,-88.300595,,,AL,0.0,2350.0
Camden,Wilcox,0.02,1000000131,Wilcox County-Meadowbrook HCR Lagoon,Collection: Separate Sewers,31.967478,-87.209906,AL0079081,0.0,AL,225.0,225.0
Camden,Wilcox,0.02,1000000131,Wilcox County-Meadowbrook HCR Lagoon,Treatment Plant,31.967478,-87.209906,AL0079081,0.0,AL,225.0,225.0
Camden,Wilcox,0.02,1000000131,Wilcox County-Meadowbrook HCR Lagoon,Ocean Discharge,31.967478,-87.209906,AL0079081,0.0,AL,225.0,225.0
Forkland,Greene,,1000000132,Forkland-Collection System,Collection: Separate Sewers,32.648048,-87.878265,,,AL,0.0,1229.0
Woodstock,Bibb,,1000000133,Woodstock-Collection System,Collection: Separate Sewers,33.209967,-87.158318,,16.67,AL,150.0,175.0
Pine Hill,Wilcox,,1000000134,Yellow Bluff-Sewer System,Collection: Separate Sewers,31.961775,-87.482243,,,AL,0.0,150.0
Eutaw,Greene,0.025,1000000135,Greene County Water and Sewer Authority,Collection: Separate Sewers,32.90843,-87.8586,AL0074993,0.0,AL,2936.0,2936.0
Eutaw,Greene,0.025,1000000135,Greene County Water and Sewer Authority,Treatment Plant,32.90843,-87.8586,AL0074993,0.0,AL,2936.0,2936.0
Eutaw,Greene,0.025,1000000135,Greene County Water and Sewer Authority,Ocean Discharge,32.90843,-87.8586,AL0074993,0.0,AL,2936.0,2936.0
,Lee,,1000000136,CHEWACLA STATE PARK,Clustered System,32.551805,-85.475006,,,AL,,
Fort Payne,DeKalb,0.06,1000000137,DESOTO STATE PARK,Collection: Separate Sewers,34.4988,-85.6171,AL0046701,14.29,AL,175.0,200.0
Fort Payne,DeKalb,0.06,1000000137,DESOTO STATE PARK,Treatment Plant,34.4988,-85.6171,AL0046701,14.29,AL,175.0,200.0
Fort Payne,DeKalb,0.06,1000000137,DESOTO STATE PARK,Ocean Discharge,34.4988,-85.6171,AL0046701,14.29,AL,175.0,200.0
Guntersville,Marshall,0.164,1000000139,LAKE GUNTERSVILLE STATE PARK,Collection: Separate Sewers,34.382858,-86.21717,AL0024627,20.0,AL,1000.0,1200.0
Guntersville,Marshall,0.164,1000000139,LAKE GUNTERSVILLE STATE PARK,Treatment Plant,34.382858,-86.21717,AL0024627,20.0,AL,1000.0,1200.0
Guntersville,Marshall,0.164,1000000139,LAKE GUNTERSVILLE STATE PARK,Ocean Discharge,34.382858,-86.21717,AL0024627,20.0,AL,1000.0,1200.0
Coker,Tuscaloosa,,1000000140,LAKE LURLEEN STATE PARK,Collection: Separate Sewers,33.243856,-87.681198,,,AL,0.0,300.0
Eufaula,Barbour,0.15,1000000141,LAKEPOINT STATE PARK,Collection: Separate Sewers,31.993602,-85.100823,ALR10C054,50.0,AL,500.0,750.0
Eufaula,Barbour,0.15,1000000141,LAKEPOINT STATE PARK,Treatment Plant,31.993602,-85.100823,ALR10C054,50.0,AL,500.0,750.0
Eufaula,Barbour,0.15,1000000141,LAKEPOINT STATE PARK,Ocean Discharge,31.993602,-85.100823,ALR10C054,50.0,AL,500.0,750.0
